testCase testName testIterIndex baseResult nodeCount tsResult timeMicroseconds memSize aspStall maxIter maxVicSize termCond
att48 TSESM_AGM 1 45740 48 35182 9616914 200 150 3500 100 300
att48 TSESM_AGM 2 45740 48 34654 7618136 200 150 3500 100 300
att48 TSESM_AGM 3 45740 48 34946 10812208 200 150 3500 100 300
att48 TSESM_AGM 4 45740 48 34383 12170652 200 150 3500 100 300
att48 TSESM_AGM 5 45740 48 34397 10476251 200 150 3500 100 300
att48 TSESM_AGM 6 45740 48 33809 9502511 200 150 3500 100 300
att48 TSESM_AGM 7 45740 48 35318 7957937 200 150 3500 100 300
att48 TSESM_AGM 8 45740 48 34733 15589680 200 150 3500 100 300
att48 TSESM_AGM 9 45740 48 33955 15642516 200 150 3500 100 300
att48 TSESM_AGM 10 45740 48 34061 6588400 200 150 3500 100 300
att48 TSESM_AGM 11 45740 48 35597 11564366 200 150 3500 100 300
att48 TSESM_AGM 12 45740 48 34228 8537007 200 150 3500 100 300
att48 TSESM_AGM 13 45740 48 35619 10016308 200 150 3500 100 300
att48 TSESM_AGM 14 45740 48 35758 9900315 200 150 3500 100 300
att48 TSESM_AGM 15 45740 48 35850 7736006 200 150 3500 100 300
att48 TSESM_AGM 16 45740 48 34658 10706528 200 150 3500 100 300
att48 TSESM_AGM 17 45740 48 33840 9909316 200 150 3500 100 300
att48 TSESM_AGM 18 45740 48 35251 11379240 200 150 3500 100 300
att48 TSESM_AGM 19 45740 48 35293 11263420 200 150 3500 100 300
att48 TSESM_AGM 20 45740 48 35230 9895915 200 150 3500 100 300
att48 TSESM_AGM 21 45740 48 35394 10286040 200 150 3500 100 300
att48 TSESM_AGM 22 45740 48 36312 8335522 200 150 3500 100 300
att48 TSESM_AGM 23 45740 48 35708 9540497 200 150 3500 100 300
att48 TSESM_AGM 24 45740 48 37069 5870503 200 150 3500 100 300
att48 TSESM_AGM 25 45740 48 34038 15991686 200 150 3500 100 300
att48 TSESM_AGM 26 45740 48 35280 11719211 200 150 3500 100 300
att48 TSESM_AGM 27 45740 48 35521 10881853 200 150 3500 100 300
att48 TSESM_AGM 28 45740 48 35047 9274027 200 150 3500 100 300
att48 TSESM_AGM 29 45740 48 36098 8138714 200 150 3500 100 300
att48 TSESM_AGM 30 45740 48 34272 13119826 200 150 3500 100 300
att48 TSESM_SE 1 40138 48 35375 10834816 200 150 3500 100 300
att48 TSESM_SE 2 40138 48 35277 9974044 200 150 3500 100 300
att48 TSESM_SE 3 40138 48 35341 9943957 200 150 3500 100 300
att48 TSESM_SE 4 40138 48 34869 13451275 200 150 3500 100 300
att48 TSESM_SE 5 40138 48 35051 9464862 200 150 3500 100 300
att48 TSESM_SE 6 40138 48 35362 11134897 200 150 3500 100 300
att48 TSESM_SE 7 40138 48 35591 8852378 200 150 3500 100 300
att48 TSESM_SE 8 40138 48 35331 8726422 200 150 3500 100 300
att48 TSESM_SE 9 40138 48 35341 8349860 200 150 3500 100 300
att48 TSESM_SE 10 40138 48 35487 7029375 200 150 3500 100 300
att48 TSESM_SE 11 40138 48 36723 8855577 200 150 3500 100 300
att48 TSESM_SE 12 40138 48 35307 10624273 200 150 3500 100 300
att48 TSESM_SE 13 40138 48 35341 8962082 200 150 3500 100 300
att48 TSESM_SE 14 40138 48 36144 9864190 200 150 3500 100 300
att48 TSESM_SE 15 40138 48 34879 12136192 200 150 3500 100 300
att48 TSESM_SE 16 40138 48 34982 14005276 200 150 3500 100 300
att48 TSESM_SE 17 40138 48 34975 13443833 200 150 3500 100 300
att48 TSESM_SE 18 40138 48 35759 11658839 200 150 3500 100 300
att48 TSESM_SE 19 40138 48 35045 9029029 200 150 3500 100 300
att48 TSESM_SE 20 40138 48 35315 10020861 200 150 3500 100 300
att48 TSESM_SE 21 40138 48 35527 10372865 200 150 3500 100 300
att48 TSESM_SE 22 40138 48 34941 8828951 200 150 3500 100 300
att48 TSESM_SE 23 40138 48 34994 13655489 200 150 3500 100 300
att48 TSESM_SE 24 40138 48 35018 10788927 200 150 3500 100 300
att48 TSESM_SE 25 40138 48 34324 15785007 200 150 3500 100 300
att48 TSESM_SE 26 40138 48 36554 10747384 200 150 3500 100 300
att48 TSESM_SE 27 40138 48 35142 24356764 200 150 3500 100 300
att48 TSESM_SE 28 40138 48 35896 13669987 200 150 3500 100 300
att48 TSESM_SE 29 40138 48 34908 17364624 200 150 3500 100 300
att48 TSESM_SE 30 40138 48 35214 26502378 200 150 3500 100 300
att48 TSESM_NN 1 40503 48 34375 13967780 200 150 3500 100 300
att48 TSESM_NN 2 40503 48 34381 14999471 200 150 3500 100 300
att48 TSESM_NN 3 40503 48 34563 7323524 200 150 3500 100 300
att48 TSESM_NN 4 40503 48 34440 17155105 200 150 3500 100 300
att48 TSESM_NN 5 40503 48 34381 13055107 200 150 3500 100 300
att48 TSESM_NN 6 40503 48 35067 14896881 200 150 3500 100 300
att48 TSESM_NN 7 40503 48 34004 13264955 200 150 3500 100 300
att48 TSESM_NN 8 40503 48 34848 12435309 200 150 3500 100 300
att48 TSESM_NN 9 40503 48 34267 12966880 200 150 3500 100 300
att48 TSESM_NN 10 40503 48 35413 13914134 200 150 3500 100 300
att48 TSESM_NN 11 40503 48 35604 7119055 200 150 3500 100 300
att48 TSESM_NN 12 40503 48 34381 17118339 200 150 3500 100 300
att48 TSESM_NN 13 40503 48 35195 11197492 200 150 3500 100 300
att48 TSESM_NN 14 40503 48 34304 10987066 200 150 3500 100 300
att48 TSESM_NN 15 40503 48 34401 15535895 200 150 3500 100 300
att48 TSESM_NN 16 40503 48 35181 15838054 200 150 3500 100 300
att48 TSESM_NN 17 40503 48 35325 14554325 200 150 3500 100 300
att48 TSESM_NN 18 40503 48 35833 7161413 200 150 3500 100 300
att48 TSESM_NN 19 40503 48 35376 10661451 200 150 3500 100 300
att48 TSESM_NN 20 40503 48 34772 11156987 200 150 3500 100 300
att48 TSESM_NN 21 40503 48 34986 10119533 200 150 3500 100 300
att48 TSESM_NN 22 40503 48 34853 10986088 200 150 3500 100 300
att48 TSESM_NN 23 40503 48 34800 8688904 200 150 3500 100 300
att48 TSESM_NN 24 40503 48 35004 10346773 200 150 3500 100 300
att48 TSESM_NN 25 40503 48 34842 11882449 200 150 3500 100 300
att48 TSESM_NN 26 40503 48 34836 10053392 200 150 3500 100 300
att48 TSESM_NN 27 40503 48 34709 12472684 200 150 3500 100 300
att48 TSESM_NN 28 40503 48 34967 10934259 200 150 3500 100 300
att48 TSESM_NN 29 40503 48 34322 8650094 200 150 3500 100 300
att48 TSESM_NN 30 40503 48 34628 21485456 200 150 3500 100 300
att48 TSWSM_AGM 1 45740 48 33840 15393797 200 150 3500 100 300
att48 TSWSM_AGM 2 45740 48 34748 16703966 200 150 3500 100 300
att48 TSWSM_AGM 3 45740 48 34197 18115987 200 150 3500 100 300
att48 TSWSM_AGM 4 45740 48 35084 19010501 200 150 3500 100 300
att48 TSWSM_AGM 5 45740 48 35148 14236043 200 150 3500 100 300
att48 TSWSM_AGM 6 45740 48 35492 17376301 200 150 3500 100 300
att48 TSWSM_AGM 7 45740 48 34194 14704240 200 150 3500 100 300
att48 TSWSM_AGM 8 45740 48 35699 24348572 200 150 3500 100 300
att48 TSWSM_AGM 9 45740 48 35400 25264095 200 150 3500 100 300
att48 TSWSM_AGM 10 45740 48 35001 14781348 200 150 3500 100 300
att48 TSWSM_AGM 11 45740 48 35212 20150403 200 150 3500 100 300
att48 TSWSM_AGM 12 45740 48 34934 23914556 200 150 3500 100 300
att48 TSWSM_AGM 13 45740 48 35871 18005921 200 150 3500 100 300
att48 TSWSM_AGM 14 45740 48 36001 16748391 200 150 3500 100 300
att48 TSWSM_AGM 15 45740 48 35574 13981737 200 150 3500 100 300
att48 TSWSM_AGM 16 45740 48 34646 23454796 200 150 3500 100 300
att48 TSWSM_AGM 17 45740 48 35040 24054542 200 150 3500 100 300
att48 TSWSM_AGM 18 45740 48 33909 23615489 200 150 3500 100 300
att48 TSWSM_AGM 19 45740 48 34828 23458585 200 150 3500 100 300
att48 TSWSM_AGM 20 45740 48 36174 21345803 200 150 3500 100 300
att48 TSWSM_AGM 21 45740 48 35279 16767437 200 150 3500 100 300
